Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
1386,78735,UT Austin,7.61,"5313 Vega Ave, Austin, TX",1,1,,30.24665,-97.85424,zillow.com/apartments/austin-tx/the-markson-austin/BzsWrB/
2009,78704,UT Austin,2.42,"300 E Riverside Dr, Austin, TX",1,1,,30.2546,-97.7433,zillow.com/apartments/austin-tx/water-marq/5XhtDD/
1248,78750,UT Austin,6.51,"6500 Champion Grandview Way, Austin, TX",1,1,,30.369059,-97.794106,zillow.com/apartments/austin-tx/10x-living-at-grandview/5Xht26/
2125,78704,UT Austin,3.09,"1515 S Lamar Blvd, Austin, TX",1,1,,30.251123,-97.76387,zillow.com/apartments/austin-tx/fifteen15-s-lamar-apartments/5hsXWD/
1165,78758,UT Austin,8.02,"12001 Metric Blvd, Austin, TX",1,1,,30.401136,-97.70123,zillow.com/apartments/austin-tx/madison-northridge/5XhszT/
1299,78729,UT Austin,11.9,"8100 Anderson Mill Rd, Austin, TX",1,1,,30.46042,-97.75685,zillow.com/apartments/austin-tx/the-royce-at-8100/65W4F9/
1195,78756,UT Austin,2.59,"Sunshine Terrace Apts., 5607 Sunshine Dr APT 116, Austin, TX 78756",1,1,625,30.326035,-97.72885,zillow.com/apartments/austin-tx/sunshine-terrace-apts./5XrmyD/
1311,78745,UT Austin,7.52,"7201 S Congress Ave, Austin, TX",1,1,,30.187042,-97.780365,zillow.com/apartments/austin-tx/soco-park-apartment-homes/5Xhsw5/
1220,78727,UT Austin,9.85,"13401 Metric Blvd, Austin, TX",1,1,,30.422745,-97.67926,zillow.com/apartments/austin-tx/the-amethyst/5Xht4z/
1188,78759,UT Austin,8.59,"3220 Duval Rd, Austin, TX",1,1,,30.41215,-97.7163,zillow.com/apartments/austin-tx/milo/5XhswB/
1379,78752,UT Austin,3.67,"810 W Saint Johns Ave, Austin, TX",1,1,,30.339931,-97.71857,zillow.com/apartments/austin-tx/midtown-commons/5Xht6w/
1030,78741,UT Austin,4.2,"2336 Douglas St, Austin, TX",1,1,,30.22825,-97.73378,zillow.com/apartments/austin-tx/chandelier/5XhsyS/
1484,78745,UT Austin,8.12,"135 Foremost Dr, Austin, TX",1,1,,30.178148,-97.78165,zillow.com/apartments/austin-tx/lenox-soco/BMFKZK/
1418,78735,UT Austin,8.51,"7601 Rialto Blvd, Austin, TX",1,1,,30.253077,-97.872826,zillow.com/apartments/austin-tx/lantana-hills/5Xhswx/
1410,78704,UT Austin,4.54,"3715 S 1st St, Austin, TX",1,1,,30.228777,-97.76695,zillow.com/apartments/austin-tx/tree/5Xkk7h/
1509,78749,UT Austin,9.86,"4100 W Slaughter Ln, Austin, TX",1,1,,30.190298,-97.85575,zillow.com/apartments/austin-tx/camden-cedar-hills/5XhsxT/
1241,78705,UT Austin,0.46,"3106 Speedway Mked, Austin, TX",1,1,,30.295689,-97.736984,zillow.com/b/mark-embers-austin-tx-C7B3Mb/
1199,78705,UT Austin,0.74,"2907 West Ave, Austin, TX",1,1,,30.297243,-97.744415,zillow.com/apartments/austin-tx/warwick/65WbrM/
1275,78704,UT Austin,3.45,"2110 Kinney Ave APT A, Austin, TX 78704",1,1,,30.24878,-97.77077,zillow.com/homedetails/2110-Kinney-Ave-APT-A-Austin-TX-78704/2057666943_zpid/
1551,78717,UT Austin,13.31,"13500 Lyndhurst St, Austin, TX",1,1,,30.476568,-97.787636,zillow.com/apartments/austin-tx/amli-lakeline/BMFmty/
1627,78702,UT Austin,1.82,"1211 E 5th St, Austin, TX",1,1,,30.263216,-97.73049,zillow.com/apartments/austin-tx/residences-at-saltillo/BNPrCY/
1233,78751,UT Austin,2.19,"5200 N Lamar Blvd, Austin, TX",1,1,,30.320496,-97.73197,zillow.com/apartments/austin-tx/summit-at-hyde-park/5Xht4c/
902,78758,UT Austin,5.94,"1804 W Rundberg Ln, Austin, TX",1,1,,30.372692,-97.71366,zillow.com/apartments/austin-tx/ascent-at-walnut-creek/5Xht2H/
1245,78729,UT Austin,12.92,"13425 Ranch Road 620 N, Austin, TX",1,1,,30.47127,-97.7852,zillow.com/apartments/austin-tx/griffis-lakeline-station/5XhtD4/
1175,78741,UT Austin,3.38,"2101 Elmont Dr, Austin, TX",1,1,,30.24097,-97.725815,zillow.com/apartments/austin-tx/mesh/5Yv2DB/
1277,78703,UT Austin,1.54,"1301 W 9th St, Austin, TX",1,1,,30.275658,-97.757195,zillow.com/apartments/austin-tx/park-place-apartments/5Xht8G/
1400,78660,UT Austin,10.01,"13624 Dessau Rd, Pflugerville, TX",1,1,,30.406271,-97.63778,zillow.com/apartments/pflugerville-tx/bridge-at-tech-crossing/Bzw2jn/
1294,78717,UT Austin,13.73,"10800 Lakeline Blvd, Austin, TX",1,1,,30.481613,-97.793365,zillow.com/apartments/austin-tx/bridge-at-indigo/5Xht58/
1549,78717,UT Austin,13.79,"Bridge at Indigo, 10800 Lakeline Blvd APT 3305, Austin, TX 78717",1,1,791,30.482452,-97.79353,zillow.com/homedetails/10800-Lakeline-Blvd-APT-3305-Austin-TX-78717/2088387273_zpid/
1499,78753,UT Austin,8.31,"12205 N Lamar Blvd, Austin, TX",1,1,,30.398603,-97.67909,zillow.com/apartments/austin-tx/bridge-at-heritage-woods/9T5jTD/
1359,78729,UT Austin,10.68,"12215 Hunters Chase Dr, Austin, TX",1,1,,30.440235,-97.774,zillow.com/apartments/austin-tx/bridge-at-balcones/5Xhsz6/
1119,78731,UT Austin,4.96,"3600 Greystone Dr, Austin, TX",1,1,,30.359732,-97.75152,zillow.com/apartments/austin-tx/bridge-at-northwest-hills/5Xht7W/
1099,78728,UT Austin,10.81,"2323 Wells Branch Pkwy, Austin, TX",1,1,,30.43954,-97.68706,zillow.com/apartments/austin-tx/bridge-at-sweetwater/5Xht7n/
1125,78759,UT Austin,5.8,"8405 Bent Tree Rd, Austin, TX",1,1,,30.372824,-97.74281,zillow.com/apartments/austin-tx/bridge-at-benttree/5XhsyP/
1239,78753,UT Austin,9.16,"12800 Center Lake Dr, Austin, TX",1,1,,30.408188,-97.66902,zillow.com/apartments/austin-tx/bridge-at-tech-ridge/5Xht2r/
1269,78753,UT Austin,9.41,"701 Center Ridge Dr, Austin, TX",1,1,,30.41217,-97.668976,zillow.com/apartments/austin-tx/bridge-at-center-ridge/5Xht7V/
1270,78745,UT Austin,7.45,"2809 W William Cannon Dr, Austin, TX",1,1,,30.207396,-97.817986,zillow.com/apartments/austin-tx/bridge-at-sterling-springs/5XhtCb/
1284,78741,UT Austin,4.75,"6107 E Riverside Dr, Austin, TX",1,1,,30.225632,-97.70573,zillow.com/apartments/austin-tx/bridge-at-henley/BPFXR9/
1299,78749,UT Austin,9.4,"4825 Davis Ln, Austin, TX",1,1,,30.204395,-97.859726,zillow.com/apartments/austin-tx/camden-stoneleigh/5XhsxK/
1276,78726,UT Austin,11.57,"8600 N Fm 620 Rd, Austin, TX",1,1,,30.42654,-97.847275,zillow.com/b/the-verandah-austin-tx-9gpMtz/
1198,78759,UT Austin,7.32,"9617 Great Hills Trl, Austin, TX",1,1,,30.393883,-97.75384,zillow.com/apartments/austin-tx/arboretum-oaks/5XhsxJ/
1407,78758,UT Austin,7.47,"11119 Alterra Pkwy, Austin, TX",1,1,,30.39632,-97.72088,zillow.com/apartments/austin-tx/gallery-at-domain/65Xx3D/
1100,78745,UT Austin,6.81,"711 Eberhart Ln, Austin, TX",1,1,,30.20057,-97.78676,zillow.com/apartments/austin-tx/mission-south/5YyF4s/
1167,78744,UT Austin,6.45,"1800 E Stassney Ln, Austin, TX",1,1,,30.198387,-97.76238,zillow.com/apartments/austin-tx/stassney-at-soco/5Xht9z/
1315,78736,UT Austin,9.8,"7870 W Us Highway 290, Austin, TX",1,1,,30.2306,-97.88617,zillow.com/apartments/austin-tx/yaupon-by-windsor/BqMWNJ/
1599,78735,UT Austin,9.51,"8818 Travis Hills Dr, Austin, TX",1,1,,30.258902,-97.892075,zillow.com/apartments/austin-tx/hudson-miramont/5Xht33/
1115,78729,UT Austin,10.93,"8519 Cahill Dr, Austin, TX",1,1,,30.44403,-97.7731,zillow.com/apartments/austin-tx/polo-club/5Xht8f/
1394,78759,UT Austin,8.36,"3201 Duval Rd, Austin, TX",1,1,,30.409157,-97.719635,zillow.com/apartments/austin-tx/mesa-verde/5Xht6x/
1925,78746,UT Austin,5.43,"Nalle Woods of Westlake, 4700 N Capital Of Texas Hwy APT 531, Austin, TX 78746",1,1,874,30.344938,-97.80041,zillow.com/b/nalle-woods-of-westlake-austin-tx-5Xht8L/
1098,78741,UT Austin,3.8,"1845 Burton Dr, Austin, TX",1,1,,30.234434,-97.7297,zillow.com/apartments/austin-tx/alister-apartments/5Xht6D/
2610,78703,UT Austin,1.75,"1011 W 5th St FLOOR 3-ID25, Austin, TX 78703",1,1,691,30.264004,-97.73261,zillow.com/homedetails/1011-W-5th-St-FLOOR-3-ID25-Austin-TX-78703/2057692677_zpid/
3630,78701,UT Austin,1.48,"610 Nueces St FLOOR 19-ID85, Austin, TX 78701",1,1,880,30.270334,-97.74845,zillow.com/homedetails/610-Nueces-St-FLOOR-19-ID85-Austin-TX-78701/2062320429_zpid/
1460,78750,UT Austin,13.71,"14115 N Highway 183, Austin, TX",1,1,,30.479387,-97.80151,zillow.com/apartments/austin-tx/brightleaf-at-lakeline/CBbwHp/
1336,78732,UT Austin,10.73,"4500 Steiner Ranch Blvd, Austin, TX",1,1,,30.383175,-97.87968,zillow.com/apartments/austin-tx/meritage-at-steiner-ranch/5Xht7F/
