Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL,pred_price
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 15031118, Austin, TX 78756",1,1,625,1175.0,zillow.com/homedetails/2211-Loop-15031118-Austin-TX-78756/2056603173_zpid/,1248.1
2330,78759,UT Austin,6.87,"9605 Research Blvd FLOOR 1-ID196, Austin, TX 78759",1,1,688,,zillow.com/homedetails/9605-Research-Blvd-FLOOR-1-ID196-Austin-TX-78759/2056491920_zpid/,1921.71
2950,78704,UT Austin,2.27,"1623 Toomey Rd FLOOR 1-ID189, Austin, TX 78704",1,1,761,2600.0,zillow.com/homedetails/1623-Toomey-Rd-FLOOR-1-ID189-Austin-TX-78704/2057133225_zpid/,2770.95
1200,78705,UT Austin,0.81,"404 W 35th St APT 204, Austin, TX 78705",1,1,538,2030.0,zillow.com/homedetails/404-W-35th-St-APT-204-Austin-TX-78705/2075530306_zpid/,1377.25
1540,78723,UT Austin,2.98,"Mueller Crossing, 5020 Manor Rd #A-101, Austin, TX 78723",1,1,850,1823.0,zillow.com/apartments/austin-tx/mueller-crossing/5YyDt9/,1799.49
1450,78703,UT Austin,2.1 ,"Tarrytown Flats, 1315 Norwalk Ln APT 114, Austin, TX 78703",1,1,789,1749.0,zillow.com/b/tarrytown-flats-austin-tx-5Z5564/,1688.87
1149,78741,UT Austin,3.77,"Easton Hills, 1900 Burton Dr APT 134, Austin, TX 78741",1,1,726,,zillow.com/apartments/austin-tx/easton-hills/5XhtD7/,1370.24
1100,78752,UT Austin,4.0 ,"7603 Carver Ave #1-C, Austin, TX 78752",1,1,480,1476.0,zillow.com/homedetails/7603-Carver-Ave-1-C-Austin-TX-78752/2055536910_zpid/,1243.76
1390,78704,UT Austin,3.59,"2411 S 5th St BUILDING 5, Austin, TX 78704",1,1,718,1808.0,zillow.com/homedetails/2411-S-5th-St-BUILDING-5-Austin-TX-78704/2065758452_zpid/,1716.23
2676,78704,UT Austin,2.24,"Cole Apartments, 300 S Lamar Blvd #203, Austin, TX 78704",1,1,887,2504.0,zillow.com/apartments/austin-tx/cole-apartments/5XhswF/,2789.32
2200,78702,UT Austin,2.22,"2124 E 6th St UNIT 302, Austin, TX 78702",1,1,747,2184.0,zillow.com/homedetails/2124-E-6th-St-UNIT-302-Austin-TX-78702/80106472_zpid/,2285.57
1875,78704,UT Austin,2.46,"802 S 1st St APT 118, Austin, TX 78704",1,1,638,1732.0,zillow.com/homedetails/802-S-1st-St-APT-118-Austin-TX-78704/62604602_zpid/,2026.79
1500,78704,UT Austin,3.34,"Brackenridge St 2102, 2102 Brackenridge St #A, Austin, TX 78704",1,1,600,2600.0,zillow.com/b/brackenridge-st-2102-austin-tx-5yXqBb/,2027.36
1340,78751,UT Austin,1.9 ,"4912 Avenue G, 4912 Avenue G UNIT B, Austin, TX 78751",1,1,600,1474.0,zillow.com/b/4912-avenue-g-austin-tx-5YbXsM/,1429.6
1515,78756,UT Austin,2.57,"Brentwood Townhomes, 5506 Grover Ave #L-148, Austin, TX 78756",1,1,800,1764.0,zillow.com/apartments/austin-tx/brentwood-townhomes/5XrBLg/,1622.11
1199,78759,UT Austin,5.8 ,"Bridge at Bent Tree, 8405 Bent Tree Rd #3423, Austin, TX 78759",1,1,713,,zillow.com/apartments/austin-tx/bridge-at-bent-tree/5XhsyP/,1422.6433333333334
