Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 15031115, Austin, TX 78756",1,1,625,30.324932,-97.740974,zillow.com/homedetails/2211-Loop-15031115-Austin-TX-78756/2056603172_zpid/
1200,78704,UT Austin,4.68,"City Scene One, 3819 Southway Dr APT 221, Austin, TX 78704",1,1,620,30.230726,-97.77649,zillow.com/b/city-scene-one-austin-tx-5XhtCC/
2550,78752,UT Austin,3.04,"6419 Airport Blvd FLOOR 2-ID199, Austin, TX 78752",1,1,744,30.32913,-97.715256,zillow.com/homedetails/6419-Airport-Blvd-FLOOR-2-ID199-Austin-TX-78752/2055636639_zpid/
4000,78701,UT Austin,1.76,"210 Lavaca St APT 1806, Austin, TX 78701",1,1,641,30.265144,-97.74669,zillow.com/homedetails/210-Lavaca-St-APT-1806-Austin-TX-78701/110539082_zpid/
2600,78702,UT Austin,2.01,"Juno East Austin, 400 Comal St #504, Austin, TX 78702",1,1,684,30.261044,-97.72771,zillow.com/apartments/austin-tx/juno-east-austin/9khFNP/
1025,78753,UT Austin,4.37,"Towne Oaks II, 615 E Wonsley Dr, Austin, TX 78753",1,1,750,30.343693,-97.699615,zillow.com/apartments/austin-tx/towne-oaks-ii/5XhtCw/
1250,78704,UT Austin,4.31,"519 Lightsey Rd APT 206, Austin, TX 78704",1,1,600,30.231997,-97.765656,zillow.com/homedetails/519-Lightsey-Rd-APT-206-Austin-TX-78704/2111861504_zpid/
1450,78703,UT Austin,1.38,"1610 Enfield Rd APT 304, Austin, TX 78703",1,1,650,30.283241,-97.7586,zillow.com/homedetails/1610-Enfield-Rd-APT-304-Austin-TX-78703/2082869702_zpid/
1100,78705,UT Austin,0.87,"Peppertree Apartments, 408 W 37th St APT 3B, Austin, TX 78705",1,1,640,30.30158,-97.73739,zillow.com/apartments/austin-tx/peppertree-apartments/5Xrqwx/
1244,78724,UT Austin,6.39,"The Terrace at Walnut Creek, 8712 Old Manor Rd, Austin, TX 78724",1,1,662,30.326368,-97.63846,zillow.com/apartments/austin-tx/the-terrace-at-walnut-creek/BCMLcN/
2200,78705,UT Austin,0.72,"913 Duncan Ln #103, Austin, TX 78705",1,1,701,30.291819,-97.72477,zillow.com/homedetails/913-Duncan-Ln-103-Austin-TX-78705/337143618_zpid/
1950,78703,UT Austin,1.94,"5th Street Commons, 1611 W 5th St APT 228, Austin, TX 78703",1,1,759,30.274282,-97.76408,zillow.com/b/5th-street-commons-austin-tx-5Xht3x/
1125,78753,UT Austin,4.59,"The Hedge Apartments, 8300 N Interstate Highway 35, Austin, TX 78753",1,1,351,30.345833,-97.696686,zillow.com/apartments/austin-tx/the-hedge-apartments/9WXbFz/
1000,78702,UT Austin,3.12,"502 Springdale Rd, 502 Springdale Rd #4, Austin, TX 78702",1,1,150,30.254255,-97.70315,zillow.com/b/502-springdale-rd-austin-tx-9LRQ4m/
4508,78758,UT Austin,7.41,"Maravilla at the Domain, 11001 Austin Ln, Austin, TX 78758",1,1,753,30.395798,-97.72482,zillow.com/apartments/austin-tx/maravilla-at-the-domain/BKB5Py/
1375,78705,UT Austin,0.86,"1904 Robbins Pl APT 4, Austin, TX 78705",1,1,425,30.284353,-97.74975,zillow.com/homedetails/1904-Robbins-Pl-APT-4-Austin-TX-78705/2057432217_zpid/
1195,78757,UT Austin,4.2,"Colony, The, 2211 Richcreek Rd APT 203, Austin, TX 78757",1,1,650,30.349733,-97.73338,"zillow.com/b/colony,-the-austin-tx-5Xht2Y/"
1250,78703,UT Austin,1.58,"808 Winflo Dr APT 101, Austin, TX 78703",1,1,400,30.275837,-97.75809,zillow.com/homedetails/808-Winflo-Dr-APT-101-Austin-TX-78703/2101480006_zpid/
1320,78751,UT Austin,1.46,"108 Place, 108 W 45th St APT 202, Austin, TX 78751",1,1,625,30.309093,-97.7289,zillow.com/apartments/austin-tx/108-place/5Xjxtf/
1225,78705,UT Austin,0.59,"Marian Condos, 2704 Salado St APT 206, Austin, TX 78705",1,1,500,30.29263,-97.74552,zillow.com/b/marian-condos-austin-tx-5XhtBb/
1250,78756,UT Austin,2.49,"The Rosedale, 2211 Loop 15177234, Austin, TX 78756",1,1,625,30.324932,-97.740974,zillow.com/homedetails/2211-Loop-15177234-Austin-TX-78756/2055945630_zpid/
1250,78748,UT Austin,9.48,"9628 Sugar Hill Dr, 9628 Sugar Hill Dr #A, Austin, TX 78748",1,1,650,30.18203,-97.83578,zillow.com/b/9628-sugar-hill-dr-austin-tx-5YbZ7N/
